dataset,label,pattern,count,share
injecagent_wami,attack,A1B1,1400,0.6641366223908919
injecagent_wami,attack,A0B0,279,0.1323529411764706
injecagent_wami,attack,A1B0,252,0.11954459203036052
injecagent_wami,attack,A0B1,177,0.08396584440227704
injecagent_wami,benign,A0B0,2000,0.9411764705882353
injecagent_wami,benign,A1B0,125,0.058823529411764705
bipia_wami,attack,A1B1,1188,0.99
bipia_wami,attack,A1B0,5,0.004166666666666667
bipia_wami,attack,A0B1,4,0.0033333333333333335
bipia_wami,attack,A0B0,3,0.0025
bipia_wami,benign,A0B0,1194,0.995
bipia_wami,benign,A0B1,4,0.0033333333333333335
bipia_wami,benign,A1B1,2,0.0016666666666666668
agentdojo_wami,attack,A1B1,546,0.9629629629629629
agentdojo_wami,attack,A1B0,12,0.021164021164021163
agentdojo_wami,attack,A0B1,5,0.008818342151675485
agentdojo_wami,attack,A0B0,4,0.007054673721340388
agentdojo_wami,benign,A0B0,64,0.7441860465116279
agentdojo_wami,benign,A1B0,14,0.16279069767441862
agentdojo_wami,benign,A1B1,6,0.06976744186046512
agentdojo_wami,benign,A0B1,2,0.023255813953488372
