dataset,variant,ir,fpr,acc,latency_ms,total
InjecAgent,WAMI (Full Model),0.8676470588235294,0.058823529411764705,0.9045594141270966,41.971003401852016,4233
InjecAgent,w/o TDG Graph Construction,0.26043643263757116,0.17647058823529413,0.5431136309945666,5.142697495873247,4233
InjecAgent,w/o World Model Rollout,0.5721062618595826,0.0,0.7869123553035672,2.6135512875397873,4233
InjecAgent,w/o MINE Gateway (Cosine Similarity),0.2167931688804554,0.0,0.6099692889203875,6.593730309520497,4233
InjecAgent,w/o Shadow Adversarial Training,0.5692599620493358,0.0,0.7854949208599102,6.763349468449072,4233
BIPIA,WAMI (Full Model),0.9975,0.005,0.99625,38.83584362498368,2400
BIPIA,w/o TDG Graph Construction,0.20833333333333334,0.13416666666666666,0.5370833333333334,6.859260875013812,2400
BIPIA,w/o World Model Rollout,0.7958333333333333,0.011666666666666667,0.8920833333333333,3.3895734583105273,2400
BIPIA,w/o MINE Gateway (Cosine Similarity),0.12666666666666668,0.0008333333333333334,0.5629166666666666,8.370723916644542,2400
BIPIA,w/o Shadow Adversarial Training,0.7741666666666667,0.019166666666666665,0.8775,8.618697833347445,2400
AgentDojo,WAMI (Full Model),0.9717813051146384,0.09302325581395349,0.9632465543644717,37.21692082707472,653
AgentDojo,w/o TDG Graph Construction,0.04585537918871252,0.03488372093023256,0.1669218989280245,6.51464578881004,653
AgentDojo,w/o World Model Rollout,0.20282186948853614,0.023255813953488372,0.30474732006125577,3.6902883614928306,653
AgentDojo,w/o MINE Gateway (Cosine Similarity),0.12345679012345678,0.0,0.23889739663093415,12.72380199093674,653
AgentDojo,w/o Shadow Adversarial Training,0.7724867724867724,0.046511627906976744,0.7963246554364471,13.504025727441993,653
Macro Avg.,WAMI (Full Model),0.9456427879793893,0.05228226174190606,0.9546853228305228,39.341255951303474,7286
Macro Avg.,w/o TDG Graph Construction,0.17154171505320567,0.1151736586107311,0.4157062877519748,6.1722013865657,7286
Macro Avg.,w/o World Model Rollout,0.5235871548938174,0.011640826873385012,0.6612476695660521,3.231137702447715,7286
Macro Avg.,w/o MINE Gateway (Cosine Similarity),0.1556388752235263,0.0002777777777777778,0.47059445073932943,9.229418739033926,7286
Macro Avg.,w/o Shadow Adversarial Training,0.7053044670675916,0.021892764857881136,0.8197731920987857,9.62869100974617,7286
