dataset,mode,ir,fpr,acc,latency_ms,n
injecagent_wami,a,0.8330170777988615,0.058823529411764705,0.88731396172927,37.44891358374671,4233
injecagent_wami,b,0.6736242884250474,0.0,0.8374675171273328,37.44891358374671,4233
injecagent_wami,or,0.8519924098671727,0.058823529411764705,0.8967635246869833,37.44891358374671,4233
injecagent_wami,and,0.6546489563567363,0.0,0.8280179541696197,37.44891358374671,4233
bipia_wami,a,0.9958333333333333,0.004166666666666667,0.9958333333333333,38.30357274998581,2400
bipia_wami,b,0.97,0.0,0.985,38.30357274998581,2400
bipia_wami,or,0.9966666666666667,0.004166666666666667,0.99625,38.30357274998581,2400
bipia_wami,and,0.9691666666666666,0.0,0.9845833333333334,38.30357274998581,2400
agentdojo_wami,a,0.9876543209876543,0.29069767441860467,0.9509954058192955,68.50353491577786,653
agentdojo_wami,b,0.9947089947089947,0.16279069767441862,0.9739663093415007,68.50353491577786,653
agentdojo_wami,or,0.9982363315696648,0.3023255813953488,0.9586523736600306,68.50353491577786,653
agentdojo_wami,and,0.9841269841269841,0.1511627906976744,0.9663093415007658,68.50353491577786,653
