epoch,loss,mine_bound,mi_gap,world_loss,elapsed_sec
1,2.177728,1.173277,2.904207,3.801031,161.5
2,0.950611,2.919616,6.022403,2.736521,338.9
3,0.815546,3.743270,7.119854,2.594841,498.9
4,0.771362,4.704769,8.409163,2.583250,687.9
5,0.794107,4.535919,8.441091,2.612299,876.0
6,0.724696,5.010407,8.408167,2.526799,1057.2
7,0.658118,5.574181,8.794878,2.443361,1234.5
8,0.690801,5.457552,8.785454,2.477938,1426.2
9,0.663226,5.625814,8.834874,2.463093,1614.1
10,0.646095,5.787205,8.939696,2.434420,1798.1
11,0.668253,5.632618,8.911895,2.439711,1974.2
12,0.663187,5.662942,8.821441,2.419741,2161.6
