dataset,method,ir,fpr,acc,latency_ms
InjecAgent,No Defense,0.000000,0.000000,0.502008,0.000342
InjecAgent,Keyword Defense,0.937381,0.000000,0.968816,0.060625
InjecAgent,Erase-and-Check Lite,0.920304,0.000000,0.960312,0.147490
InjecAgent,SmoothVLM Lite,0.497628,0.000000,0.749823,0.178772
InjecAgent,ToolEmu-Sandbox Lite,0.920304,0.000000,0.960312,0.072713
InjecAgent,WAMI,0.932163,0.000000,0.966218,1.798544
BIPIA,No Defense,0.000000,0.000000,0.500000,0.000337
BIPIA,Keyword Defense,1.000000,0.030000,0.985000,0.080092
BIPIA,Erase-and-Check Lite,1.000000,0.030000,0.985000,0.188073
BIPIA,SmoothVLM Lite,0.922500,0.011667,0.955417,0.268960
BIPIA,ToolEmu-Sandbox Lite,1.000000,0.030000,0.985000,0.077127
BIPIA,WAMI,1.000000,0.000000,1.000000,3.155784
