dataset,method,ir,fpr,acc,latency_ms,total,attack_n,benign_n
InjecAgent,WAMI full,0.9648956356736242,0.0,0.9825183085282305,1.1635035672102674,4233,2108,2125
InjecAgent,WAMI w/o MINE (rules-only),0.9297912713472486,0.0,0.9650366170564612,1.139058516421571,4233,2108,2125
InjecAgent,WAMI w/o rules (score-only),0.25521821631878555,0.0,0.6291046539097567,1.1448401606427965,4233,2108,2125
InjecAgent,WAMI w/o TDG edges,0.9648956356736242,0.0,0.9825183085282305,1.1298406331188777,4233,2108,2125
InjecAgent,High-risk rules only,0.9297912713472486,0.0,0.9650366170564612,1.1022955587046255,4233,2108,2125
InjecAgent,MINE score only,0.25521821631878555,0.0,0.6291046539097567,1.0944237420265281,4233,2108,2125
BIPIA,WAMI full,1.0,0.3325,0.83375,1.4963586250026613,2400,1200,1200
BIPIA,WAMI w/o MINE (rules-only),1.0,0.0,1.0,1.4795342083380092,2400,1200,1200
BIPIA,WAMI w/o rules (score-only),0.5758333333333333,0.33666666666666667,0.6195833333333334,1.4502742916677864,2400,1200,1200
BIPIA,WAMI w/o TDG edges,1.0,0.3325,0.83375,1.4903879166680174,2400,1200,1200
BIPIA,High-risk rules only,1.0,0.0,1.0,1.489641708333996,2400,1200,1200
BIPIA,MINE score only,0.5758333333333333,0.33666666666666667,0.6195833333333334,1.4203041666708789,2400,1200,1200
AgentDojo,WAMI full,0.8994708994708994,0.20930232558139536,0.885145482388974,1.5902408881998618,653,567,86
AgentDojo,WAMI w/o MINE (rules-only),0.8359788359788359,0.0,0.8575803981623277,1.5724003062931862,653,567,86
AgentDojo,WAMI w/o rules (score-only),0.43033509700176364,0.2558139534883721,0.47166921898928027,1.5069856049006614,653,567,86
AgentDojo,WAMI w/o TDG edges,0.8994708994708994,0.20930232558139536,0.885145482388974,1.5729159264893744,653,567,86
AgentDojo,High-risk rules only,0.8359788359788359,0.0,0.8575803981623277,1.5698491577322882,653,567,86
AgentDojo,MINE score only,0.43033509700176364,0.2558139534883721,0.47166921898928027,1.5083359877582836,653,567,86
