epoch,loss,mine_bound,mi_gap,world_loss,elapsed_sec
1,1.250146,1.794812,3.563492,3.064316,124.5
2,0.680022,4.845646,7.486617,2.753573,259.6
3,0.570648,6.626076,9.259675,2.696205,396.7
4,0.438631,8.238415,10.550118,2.673259,534.4
5,0.392806,8.767966,11.162718,2.631119,664.6
6,0.399621,8.650483,10.976964,2.630903,800.3
7,0.407197,8.692711,11.000523,2.617027,940.8
8,0.388536,8.699135,11.000964,2.599672,1081.6
9,0.385388,8.736498,11.007380,2.599925,1217.1
10,0.391817,8.779958,11.049194,2.614059,1349.3
11,0.395341,8.672163,10.924726,2.584746,1480.5
12,0.388563,8.718818,10.999515,2.599613,1618.0
13,0.381885,8.846062,11.140276,2.588521,1757.4
14,0.386097,8.764960,11.067853,2.596706,1896.7
15,0.383820,8.743227,10.939164,2.613584,2036.0
16,0.384846,8.793662,11.142478,2.612442,2166.5
17,0.372115,8.925973,11.197023,2.599167,2298.4
18,0.380891,8.699941,10.975361,2.591070,2437.7
19,0.385998,8.862284,11.130895,2.612787,2577.3
20,0.390574,8.763810,11.037707,2.612467,2712.3
