epoch,loss,mine_bound,mi_gap,world_loss,elapsed_sec
1,1.482276,1.338881,2.722175,3.573821,164.0
2,0.858563,3.230377,5.936422,3.232393,337.0
3,0.757574,4.882519,7.441665,3.205045,508.2
4,0.722656,5.308888,7.839152,3.158967,677.8
5,0.723581,5.320836,7.776595,3.148360,834.1
6,0.726420,5.334510,7.778425,3.142813,1005.5
7,0.726519,5.327790,7.785685,3.138384,1173.0
8,0.708188,5.354880,7.862814,3.136094,1341.1
9,0.709933,5.402784,7.879295,3.138605,1505.3
10,0.712675,5.393442,7.829852,3.125911,1675.1
11,0.718030,5.367875,7.736434,3.125443,1850.6
12,0.692745,5.499881,7.999720,3.134145,2016.9
13,0.710959,5.406107,7.845028,3.122650,2179.0
14,0.694117,5.459656,7.941767,3.120193,2343.4
15,0.699761,5.444163,7.882443,3.126916,2519.0
16,0.694532,5.481618,7.969961,3.126202,2689.9
17,0.710013,5.395494,7.832923,3.110381,2862.7
18,0.697076,5.452115,7.862216,3.127160,3019.8
19,0.683249,5.540495,7.954831,3.126737,3192.0
20,0.703717,5.459337,7.934209,3.125669,3362.9
